en
S,en,Ukraine,ru,Р Р€Р С”РЎР‚Р В°Р С‘Р Р…Р В°,ru,Р Р€Р С”РЎР‚Р В°РЎвЂ”Р Р…Р В°
T,en,Stari bogorodchani,ru,Р РЋРЎвЂљР В°РЎР‚i Р вЂ?Р С•Р С–Р С•РЎР‚Р С•Р Т‘РЎвЂЎР В°Р Р…Р С‘,ua,Р РЋРЎвЂљР В°РЎР‚i Р вЂ?Р С•Р С–Р С•РЎР‚Р С•Р Т‘РЎвЂЎР В°Р Р…Р С‘
T,en,Starunja,ru,Р РЋРЎвЂљР В°РЎР‚РЎС“Р Р…РЎРЏ,ua,Р РЋРЎвЂљР В°РЎР‚РЎС“Р Р…РЎРЏ
T,en,Hmelivka,ru,Р ТђР С?Р ВµР В»iР Р†Р С”Р В°,ua,Р ТђР С?Р ВµР В»iР Р†Р С”Р В°
T,en,JAblun'ka,ru,Р Р‡Р В±Р В»РЎС“Р Р…РЎРЉР С”Р В°,ua,Р Р‡Р В±Р В»РЎС“Р Р…РЎРЉР С”Р В°
T,en,Bolehiv,ru,Р вЂ?Р С•Р В»Р ВµРЎвЂ¦iР Р†,ua,Р вЂ?Р С•Р В»Р ВµРЎвЂ¦iР Р†
T,en,Guziyiv,ru,Р вЂњРЎС“Р В·iРЎвЂ”Р Р†,ua,Р вЂњРЎС“Р В·iРЎвЂ”Р Р†
T,en,Kozakivka,ru,Р С™Р С•Р В·Р В°Р С”iР Р†Р С”Р В°,ua,Р С™Р С•Р В·Р В°Р С”iР Р†Р С”Р В°
T,en,Mizhrichchja,ru,Р СљiР В¶РЎР‚iРЎвЂЎРЎвЂЎРЎРЏ,ua,Р СљiР В¶РЎР‚iРЎвЂЎРЎвЂЎРЎРЏ
T,en,Pidberezhzhja,ru,Р СџiР Т‘Р В±Р ВµРЎР‚Р ВµР В¶Р В¶РЎРЏ,ua,Р СџiР Т‘Р В±Р ВµРЎР‚Р ВµР В¶Р В¶РЎРЏ
T,en,Poljanitsja,ru,Р СџР С•Р В»РЎРЏР Р…Р С‘РЎвЂ РЎРЏ,ua,Р СџР С•Р В»РЎРЏР Р…Р С‘РЎвЂ РЎРЏ
T,en,Tisiv,ru,Р СћР С‘РЎРѓiР Р†,ua,Р СћР С‘РЎРѓiР Р†
T,en,Biloberizka,ru,Р вЂ?iР В»Р С•Р В±Р ВµРЎР‚iР В·Р С”Р В°,ua,Р вЂ?iР В»Р С•Р В±Р ВµРЎР‚iР В·Р С”Р В°
T,en,Bistrets',ru,Р вЂ?Р С‘РЎРѓРЎвЂљРЎР‚Р ВµРЎвЂ РЎРЉ,ua,Р вЂ?Р С‘РЎРѓРЎвЂљРЎР‚Р ВµРЎвЂ РЎРЉ
T,en,Bukovets',ru,Р вЂ?РЎС“Р С”Р С•Р Р†Р ВµРЎвЂ РЎРЉ,ua,Р вЂ?РЎС“Р С”Р С•Р Р†Р ВµРЎвЂ РЎРЉ
T,en,Verhnij JAseniv,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…iР в„– Р Р‡РЎРѓР ВµР Р…iР Р†,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р Р…iР в„– Р Р‡РЎРѓР ВµР Р…iР Р†
T,en,Verhovina,ru,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р С•Р Р†Р С‘Р Р…Р В°,ua,Р вЂ™Р ВµРЎР‚РЎвЂ¦Р С•Р Р†Р С‘Р Р…Р В°
T,en,Golovi,ru,Р вЂњР С•Р В»Р С•Р Р†Р С‘,ua,Р вЂњР С•Р В»Р С•Р Р†Р С‘
T,en,Goloshina,ru,Р вЂњР С•Р В»Р С•РЎв‚¬Р С‘Р Р…Р В°,ua,Р вЂњР С•Р В»Р С•РЎв‚¬Р С‘Р Р…Р В°
T,en,Gramotne,ru,Р вЂњРЎР‚Р В°Р С?Р С•РЎвЂљР Р…Р Вµ,ua,Р вЂњРЎР‚Р В°Р С?Р С•РЎвЂљР Р…Р Вµ
T,en,Grinjava,ru,Р вЂњРЎР‚Р С‘Р Р…РЎРЏР Р†Р В°,ua,Р вЂњРЎР‚Р С‘Р Р…РЎРЏР Р†Р В°
T,en,Dovgopole,ru,Р вЂќР С•Р Р†Р С–Р С•Р С—Р С•Р В»Р Вµ,ua,Р вЂќР С•Р Р†Р С–Р С•Р С—Р С•Р В»Р Вµ
T,en,Zamagora,ru,Р вЂ”Р В°Р С?Р В°Р С–Р С•РЎР‚Р В°,ua,Р вЂ”Р В°Р С?Р В°Р С–Р С•РЎР‚Р В°
T,en,Zelene,ru,Р вЂ”Р ВµР В»Р ВµР Р…Р Вµ,ua,Р вЂ”Р ВµР В»Р ВµР Р…Р Вµ
T,en,Il'tsi,ru,IР В»РЎРЉРЎвЂ i,ua,IР В»РЎРЉРЎвЂ i
T,en,Krasnik,ru,Р С™РЎР‚Р В°РЎРѓР Р…Р С‘Р С”,ua,Р С™РЎР‚Р В°РЎРѓР Р…Р С‘Р С”
T,en,Krasnoyillja,ru,Р С™РЎР‚Р В°РЎРѓР Р…Р С•РЎвЂ”Р В»Р В»РЎРЏ,ua,Р С™РЎР‚Р В°РЎРѓР Р…Р С•РЎвЂ”Р В»Р В»РЎРЏ
T,en,Krivopillja,ru,Р С™РЎР‚Р С‘Р Р†Р С•Р С—iР В»Р В»РЎРЏ,ua,Р С™РЎР‚Р С‘Р Р†Р С•Р С—iР В»Р В»РЎРЏ
T,en,Krivorivnja,ru,Р С™РЎР‚Р С‘Р Р†Р С•РЎР‚iР Р†Р Р…РЎРЏ,ua,Р С™РЎР‚Р С‘Р Р†Р С•РЎР‚iР Р†Р Р…РЎРЏ
T,en,Poljanki,ru,Р СџР С•Р В»РЎРЏР Р…Р С”Р С‘,ua,Р СџР С•Р В»РЎРЏР Р…Р С”Р С‘
T,en,Probijnivka,ru,Р СџРЎР‚Р С•Р В±iР в„–Р Р…iР Р†Р С”Р В°,ua,Р СџРЎР‚Р С•Р В±iР в„–Р Р…iР Р†Р С”Р В°
T,en,Stebni,ru,Р РЋРЎвЂљР ВµР В±Р Р…i,ua,Р РЋРЎвЂљР ВµР В±Р Р…i
T,en,Usteriki,ru,Р Р€РЎРѓРЎвЂљР ВµРЎР‚iР С”Р С‘,ua,Р Р€РЎРѓРЎвЂљР ВµРЎР‚iР С”Р С‘
T,en,Horotseve,ru,Р ТђР С•РЎР‚Р С•РЎвЂ Р ВµР Р†Р Вµ,ua,Р ТђР С•РЎР‚Р С•РЎвЂ Р ВµР Р†Р Вµ
T,en,CHeremoshna,ru,Р В§Р ВµРЎР‚Р ВµР С?Р С•РЎв‚¬Р Р…Р В°,ua,Р В§Р ВµРЎР‚Р ВµР С?Р С•РЎв‚¬Р Р…Р В°
T,en,JAblunitsja,ru,Р Р‡Р В±Р В»РЎС“Р Р…Р С‘РЎвЂ РЎРЏ,ua,Р Р‡Р В±Р В»РЎС“Р Р…Р С‘РЎвЂ РЎРЏ
T,en,JAvirnik,ru,Р Р‡Р Р†iРЎР‚Р Р…Р С‘Р С”,ua,Р Р‡Р Р†iРЎР‚Р Р…Р С‘Р С”
T,en,Bil'shivtsi,ru,Р вЂ?iР В»РЎРЉРЎв‚¬iР Р†РЎвЂ i,ua,Р вЂ?iР В»РЎРЉРЎв‚¬iР Р†РЎвЂ i
T,en,Bljudniki,ru,Р вЂ?Р В»РЎР‹Р Т‘Р Р…Р С‘Р С”Р С‘,ua,Р вЂ?Р В»РЎР‹Р Т‘Р Р…Р С‘Р С”Р С‘
T,en,Bovshiv,ru,Р вЂ?Р С•Р Р†РЎв‚¬iР Р†,ua,Р вЂ?Р С•Р Р†РЎв‚¬iР Р†
T,en,Brin',ru,Р вЂ?РЎР‚Р С‘Р Р…РЎРЉ,ua,Р вЂ?РЎР‚Р С‘Р Р…РЎРЉ
T,en,Burshtin,ru,Р вЂ?РЎС“РЎР‚РЎв‚¬РЎвЂљР С‘Р Р…,ua,Р вЂ?РЎС“РЎР‚РЎв‚¬РЎвЂљР С‘Р Р…
T,en,Viktoriv,ru,Р вЂ™iР С”РЎвЂљР С•РЎР‚iР Р†,ua,Р вЂ™iР С”РЎвЂљР С•РЎР‚iР Р†
T,en,Galich,ru,Р вЂњР В°Р В»Р С‘РЎвЂЎ,ua,Р вЂњР В°Р В»Р С‘РЎвЂЎ
T,en,Delieve,ru,Р вЂќР ВµР В»iРЎвЂќР Р†Р Вµ,ua,Р вЂќР ВµР В»iРЎвЂќР Р†Р Вµ
T,en,Dem'JAniv,ru,Р вЂќР ВµР С?'Р Р‡Р Р…iР Р†,ua,Р вЂќР ВµР С?'Р Р‡Р Р…iР Р†
T,en,Demeshkivtsi,ru,Р вЂќР ВµР С?Р ВµРЎв‚¬Р С”iР Р†РЎвЂ i,ua,Р вЂќР ВµР С?Р ВµРЎв‚¬Р С”iР Р†РЎвЂ i
T,en,Ditjatin,ru,Р вЂќР С‘РЎвЂљРЎРЏРЎвЂљР С‘Р Р…,ua,Р вЂќР С‘РЎвЂљРЎРЏРЎвЂљР С‘Р Р…
T,en,Dorogiv,ru,Р вЂќР С•РЎР‚Р С•Р С–iР Р†,ua,Р вЂќР С•РЎР‚Р С•Р С–iР Р†
T,en,Dubivtsi,ru,Р вЂќРЎС“Р В±iР Р†РЎвЂ i,ua,Р вЂќРЎС“Р В±iР Р†РЎвЂ i
T,en,Zhalibori,ru,Р вЂ“Р В°Р В»Р С‘Р В±Р С•РЎР‚Р С‘,ua,Р вЂ“Р В°Р В»Р С‘Р В±Р С•РЎР‚Р С‘
T,en,Zadnistrjans'ke,ru,Р вЂ”Р В°Р Т‘Р Р…iРЎРѓРЎвЂљРЎР‚РЎРЏР Р…РЎРѓРЎРЉР С”Р Вµ,ua,Р вЂ”Р В°Р Т‘Р Р…iРЎРѓРЎвЂљРЎР‚РЎРЏР Р…РЎРѓРЎРЉР С”Р Вµ
T,en,Zalukva,ru,Р вЂ”Р В°Р В»РЎС“Р С”Р Р†Р В°,ua,Р вЂ”Р В°Р В»РЎС“Р С”Р Р†Р В°
T,en,Kinashiv,ru,Р С™iР Р…Р В°РЎв‚¬iР Р†,ua,Р С™iР Р…Р В°РЎв‚¬iР Р†
T,en,Kinchaki,ru,Р С™iР Р…РЎвЂЎР В°Р С”Р С‘,ua,Р С™iР Р…РЎвЂЎР В°Р С”Р С‘
T,en,Kolodiyiv,ru,Р С™Р С•Р В»Р С•Р Т‘iРЎвЂ”Р Р†,ua,Р С™Р С•Р В»Р С•Р Т‘iРЎвЂ”Р Р†
T,en,Komariv,ru,Р С™Р С•Р С?Р В°РЎР‚iР Р†,ua,Р С™Р С•Р С?Р В°РЎР‚iР Р†
T,en,Korostovichi,ru,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљР С•Р Р†Р С‘РЎвЂЎi,ua,Р С™Р С•РЎР‚Р С•РЎРѓРЎвЂљР С•Р Р†Р С‘РЎвЂЎi
T,en,Krilos,ru,Р С™РЎР‚Р С‘Р В»Р С•РЎРѓ,ua,Р С™РЎР‚Р С‘Р В»Р С•РЎРѓ
T,en,Kukil'niki,ru,Р С™РЎС“Р С”iР В»РЎРЉР Р…Р С‘Р С”Р С‘,ua,Р С™РЎС“Р С”iР В»РЎРЉР Р…Р С‘Р С”Р С‘
T,en,Lani,ru,Р вЂєР В°Р Р…Р С‘,ua,Р вЂєР В°Р Р…Р С‘
T,en,Marinopil',ru,Р СљР В°РЎР‚Р С‘Р Р…Р С•Р С—iР В»РЎРЉ,ua,Р СљР В°РЎР‚Р С‘Р Р…Р С•Р С—iР В»РЎРЉ
T,en,Medinja,ru,Р СљР ВµР Т‘Р С‘Р Р…РЎРЏ,ua,Р СљР ВµР Т‘Р С‘Р Р…РЎРЏ
T,en,Meduha,ru,Р СљР ВµР Т‘РЎС“РЎвЂ¦Р В°,ua,Р СљР ВµР Т‘РЎС“РЎвЂ¦Р В°
T,en,Mezhigirtsi,ru,Р СљР ВµР В¶Р С‘Р С–iРЎР‚РЎвЂ i,ua,Р СљР ВµР В¶Р С‘Р С–iРЎР‚РЎвЂ i
T,en,Naberezhne,ru,Р СњР В°Р В±Р ВµРЎР‚Р ВµР В¶Р Р…Р Вµ,ua,Р СњР В°Р В±Р ВµРЎР‚Р ВµР В¶Р Р…Р Вµ
T,en,Narayivka,ru,Р СњР В°РЎР‚Р В°РЎвЂ”Р Р†Р С”Р В°,ua,Р СњР В°РЎР‚Р В°РЎвЂ”Р Р†Р С”Р В°
T,en,Nastashine,ru,Р СњР В°РЎРѓРЎвЂљР В°РЎв‚¬Р С‘Р Р…Р Вµ,ua,Р СњР В°РЎРѓРЎвЂљР В°РЎв‚¬Р С‘Р Р…Р Вµ
T,en,Nimshin,ru,Р СњiР С?РЎв‚¬Р С‘Р Р…,ua,Р СњiР С?РЎв‚¬Р С‘Р Р…
T,en,Novi skomorohi,ru,Р СњР С•Р Р†i Р РЋР С”Р С•Р С?Р С•РЎР‚Р С•РЎвЂ¦Р С‘,ua,Р СњР С•Р Р†i Р РЋР С”Р С•Р С?Р С•РЎР‚Р С•РЎвЂ¦Р С‘
T,en,Ozerjani,ru,Р С›Р В·Р ВµРЎР‚РЎРЏР Р…Р С‘,ua,Р С›Р В·Р ВµРЎР‚РЎРЏР Р…Р С‘
T,en,Ostriv,ru,Р С›РЎРѓРЎвЂљРЎР‚iР Р†,ua,Р С›РЎРѓРЎвЂљРЎР‚iР Р†
T,en,Perlivtsi,ru,Р СџР ВµРЎР‚Р В»iР Р†РЎвЂ i,ua,Р СџР ВµРЎР‚Р В»iР Р†РЎвЂ i
T,en,Sloboda,ru,Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°,ua,Р РЋР В»Р С•Р В±Р С•Р Т‘Р В°
T,en,Stari skomorohi,ru,Р РЋРЎвЂљР В°РЎР‚i Р РЋР С”Р С•Р С?Р С•РЎР‚Р С•РЎвЂ¦Р С‘,ua,Р РЋРЎвЂљР В°РЎР‚i Р РЋР С”Р С•Р С?Р С•РЎР‚Р С•РЎвЂ¦Р С‘
T,en,Starij martiniv,ru,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– Р СљР В°РЎР‚РЎвЂљР С‘Р Р…iР Р†,ua,Р РЋРЎвЂљР В°РЎР‚Р С‘Р в„– Р СљР В°РЎР‚РЎвЂљР С‘Р Р…iР Р†
T,en,Tenetniki,ru,Р СћР ВµР Р…Р ВµРЎвЂљР Р…Р С‘Р С”Р С‘,ua,Р СћР ВµР Р…Р ВµРЎвЂљР Р…Р С‘Р С”Р С‘
T,en,Tumir,ru,Р СћРЎС“Р С?Р С‘РЎР‚,ua,Р СћРЎС“Р С?Р С‘РЎР‚
T,en,Tustan',ru,Р СћРЎС“РЎРѓРЎвЂљР В°Р Р…РЎРЉ,ua,Р СћРЎС“РЎРѓРЎвЂљР В°Р Р…РЎРЉ
T,en,Hohoniv,ru,Р ТђР С•РЎвЂ¦Р С•Р Р…iР Р†,ua,Р ТђР С•РЎвЂ¦Р С•Р Р…iР Р†
T,en,JAbluniv,ru,Р Р‡Р В±Р В»РЎС“Р Р…iР Р†,ua,Р Р‡Р В±Р В»РЎС“Р Р…iР Р†
T,en,Vikno,ru,Р вЂ™iР С”Р Р…Р С•,ua,Р вЂ™iР С”Р Р…Р С•
T,en,Verbivtsi,ru,Р вЂ™Р ВµРЎР‚Р В±iР Р†РЎвЂ i,ua,Р вЂ™Р ВµРЎР‚Р В±iР Р†РЎвЂ i
T,en,Vinograd,ru,Р вЂ™Р С‘Р Р…Р С•Р С–РЎР‚Р В°Р Т‘,ua,Р вЂ™Р С‘Р Р…Р С•Р С–РЎР‚Р В°Р Т‘
T,en,Vil'hivtsi,ru,Р вЂ™iР В»РЎРЉРЎвЂ¦iР Р†РЎвЂ i,ua,Р вЂ™iР В»РЎРЉРЎвЂ¦iР Р†РЎвЂ i
T,en,Voroniv,ru,Р вЂ™Р С•РЎР‚Р С•Р Р…iР Р†,ua,Р вЂ™Р С•РЎР‚Р С•Р Р…iР Р†
T,en,Glushkiv,ru,Р вЂњР В»РЎС“РЎв‚¬Р С”iР Р†,ua,Р вЂњР В»РЎС“РЎв‚¬Р С”iР Р†
T,en,Gorodenka,ru,Р вЂњР С•РЎР‚Р С•Р Т‘Р ВµР Р…Р С”Р В°,ua,Р вЂњР С•РЎР‚Р С•Р Т‘Р ВµР Р…Р С”Р В°
T,en,Gorodnitsja,ru,Р вЂњР С•РЎР‚Р С•Р Т‘Р Р…Р С‘РЎвЂ РЎРЏ,ua,Р вЂњР С•РЎР‚Р С•Р Т‘Р Р…Р С‘РЎвЂ РЎРЏ
T,en,Daleshove,ru,Р вЂќР В°Р В»Р ВµРЎв‚¬Р С•Р Р†Р Вµ,ua,Р вЂќР В°Р В»Р ВµРЎв‚¬Р С•Р Р†Р Вµ
T,en,Dubka,ru,Р вЂќРЎС“Р В±Р С”Р В°,ua,Р вЂќРЎС“Р В±Р С”Р В°
T,en,Kolinki,ru,Р С™Р С•Р В»iР Р…Р С”Р С‘,ua,Р С™Р С•Р В»iР Р…Р С”Р С‘
T,en,Kopachintsi,ru,Р С™Р С•Р С—Р В°РЎвЂЎР С‘Р Р…РЎвЂ i,ua,Р С™Р С•Р С—Р В°РЎвЂЎР С‘Р Р…РЎвЂ i
T,en,Korniv,ru,Р С™Р С•РЎР‚Р Р…iР Р†,ua,Р С™Р С•РЎР‚Р Р…iР Р†
T,en,Kotikivka,ru,Р С™Р С•РЎвЂљР С‘Р С”iР Р†Р С”Р В°,ua,Р С™Р С•РЎвЂљР С‘Р С”iР Р†Р С”Р В°
T,en,Kunisivtsi,ru,Р С™РЎС“Р Р…Р С‘РЎРѓiР Р†РЎвЂ i,ua,Р С™РЎС“Р Р…Р С‘РЎРѓiР Р†РЎвЂ i
T,en,Luka,ru,Р вЂєРЎС“Р С”Р В°,ua,Р вЂєРЎС“Р С”Р В°
T,en,Mihal'che,ru,Р СљР С‘РЎвЂ¦Р В°Р В»РЎРЉРЎвЂЎР Вµ,ua,Р СљР С‘РЎвЂ¦Р В°Р В»РЎРЉРЎвЂЎР Вµ
T,en,Nezvis'ko,ru,Р СњР ВµР В·Р Р†Р С‘РЎРѓРЎРЉР С”Р С•,ua,Р СњР ВµР В·Р Р†Р С‘РЎРѓРЎРЉР С”Р С•
T,en,Olievo-korniv,ru,Р С›Р В»iРЎвЂќР Р†Р С•-Р С™Р С•РЎР‚Р Р…iР Р†,ua,Р С›Р В»iРЎвЂќР Р†Р С•-Р С™Р С•РЎР‚Р Р…iР Р†
T,en,Olievo-korolivka,ru,Р С›Р В»iРЎвЂќР Р†Р С•-Р С™Р С•РЎР‚Р С•Р В»iР Р†Р С”Р В°,ua,Р С›Р В»iРЎвЂќР Р†Р С•-Р С™Р С•РЎР‚Р С•Р В»iР Р†Р С”Р В°
T,en,Ostrivets',ru,Р С›РЎРѓРЎвЂљРЎР‚iР Р†Р ВµРЎвЂ РЎРЉ,ua,Р С›РЎРѓРЎвЂљРЎР‚iР Р†Р ВµРЎвЂ РЎРЉ
T,en,Potochische,ru,Р СџР С•РЎвЂљР С•РЎвЂЎР С‘РЎвЂ°Р Вµ,ua,Р СџР С•РЎвЂљР С•РЎвЂЎР С‘РЎвЂ°Р Вµ
T,en,Prikmische,ru,Р СџРЎР‚Р С‘Р С”Р С?Р С‘РЎвЂ°Р Вµ,ua,Р СџРЎР‚Р С‘Р С”Р С?Р С‘РЎвЂ°Р Вµ
T,en,Rashkiv,ru,Р В Р В°РЎв‚¬Р С”iР Р†,ua,Р В Р В°РЎв‚¬Р С”iР Р†
T,en,Rosohach,ru,Р В Р С•РЎРѓР С•РЎвЂ¦Р В°РЎвЂЎ,ua,Р В Р С•РЎРѓР С•РЎвЂ¦Р В°РЎвЂЎ
T,en,Semakivtsi,ru,Р РЋР ВµР С?Р В°Р С”iР Р†РЎвЂ i,ua,Р РЋР ВµР С?Р В°Р С”iР Р†РЎвЂ i
T,en,Semenivka,ru,Р РЋР ВµР С?Р ВµР Р…iР Р†Р С”Р В°,ua,Р РЋР ВµР С?Р ВµР Р…iР Р†Р С”Р В°
T,en,Serafintsi,ru,Р РЋР ВµРЎР‚Р В°РЎвЂћР С‘Р Р…РЎвЂ i,ua,Р РЋР ВµРЎР‚Р В°РЎвЂћР С‘Р Р…РЎвЂ i
T,en,Slobidka,ru,Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°,ua,Р РЋР В»Р С•Р В±iР Т‘Р С”Р В°
T,en,Soroki,ru,Р РЋР С•РЎР‚Р С•Р С”Р С‘,ua,Р РЋР С•РЎР‚Р С•Р С”Р С‘
T,en,Stril'che,ru,Р РЋРЎвЂљРЎР‚iР В»РЎРЉРЎвЂЎР Вµ,ua,Р РЋРЎвЂљРЎР‚iР В»РЎРЉРЎвЂЎР Вµ
T,en,Tishkivtsi,ru,Р СћР С‘РЎв‚¬Р С”iР Р†РЎвЂ i,ua,Р СћР С‘РЎв‚¬Р С”iР Р†РЎвЂ i
T,en,Toporivtsi,ru,Р СћР С•Р С—Р С•РЎР‚iР Р†РЎвЂ i,ua,Р СћР С•Р С—Р С•РЎР‚iР Р†РЎвЂ i
T,en,Torgovitsja,ru,Р СћР С•РЎР‚Р С–Р С•Р Р†Р С‘РЎвЂ РЎРЏ,ua,Р СћР С•РЎР‚Р С–Р С•Р Р†Р С‘РЎвЂ РЎРЏ
